,country,cur,local.price,exch,gdp.per.cap,dprice,ppp,raw,newp,adj.index,CODE
1,South Africa,ZAR,31,13.3,7524.51,2.3308270677,5.6261343013,-57.6982383363,6.0814236911,10.3706658996,SOU
2,Malawi,MWK,2965,727,486.45,4.0784044017,538.112522686,-25.9817712949,5.2245717492,-5.1801860402,MAA
3,Zambia,ZMK,56,11.858,1646.14,4.7225501771,10.1633393829,-14.2912853522,5.3657587565,-2.6178084126,ZAM
4,Angola,AOA,2895,308,3484.6,9.3993506494,525.4083484574,70.5871261225,5.5895829383,1.444336448,ANG
5,Mozambique,MZN,344,61,519,5.6393442623,62.4319419238,2.3474457767,5.2285345643,-5.1082656203,MOZ
6,Kenya,KES,528,101,1169.34,5.2277227723,95.8257713249,-5.1229986883,5.3077105151,-3.6713155161,KEN
7,Tanzania,TZS,7430,2289,900.52,3.245958934,1348.4573502722,-41.0896745185,5.2749828971,-4.2652831746,TAN
8,Uganda,UGX,22384,3743,666.61,5.9802297622,4062.4319419238,8.5341154668,5.2465054136,-4.7821159065,UGA
9,Nigeria,NGN,1794,361,2412.41,4.9695290859,325.5898366606,-9.8089095123,5.4590486599,-0.9247067175,NIR
10,Namibia,NAD,79,14.1,5854.86,5.6028368794,14.3375680581,1.6848798445,5.8781513625,6.6815129311,NAM
11,Botswana,BWP,56,10.6,7523.22,5.2830188679,10.1633393829,-4.1194397836,6.0812666394,10.3678155972,BOT
12,Ghana,GH₵,40,4.9,1641.49,8.1632653061,7.2595281307,48.1536353198,5.36519264,-2.6280827583,GHA
13,Mauritius,Rs,227,34.5,10547.22,6.5797101449,41.1978221416,19.4139772219,6.449424949,17.0494546094,MUS
14,Seychelles,Rs,114,13.6,15504.46,8.3823529412,20.6896551724,52.1298174442,7.0529464763,28.0026583715,SYC
